date,temp_avg,count_rb,count_g,avg_svl_rb,avg_svl_g,avg_time,site,boards,mowed,field_200m,field_900m,field_1000m,forest_200m,forest_300m,forest_700m,forest_800m,road_300m,road_500m,road_800m,sides_300m,sides_500m,sides_600m,urban_100m,urban_200m,urban_300m,urban_1000m,water_600m,water_800m,water_900m
2020169,21.3,1,0,10.4,,843,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020175,30.1,0,0,,,1130,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020184,27.7,2,0,24.25,,1119.5,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020190,29.8,0,0,,,1130,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020197,23.6,0,0,,,1000,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020202,28.6,0,0,,,1200,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020206,27.7,0,0,,,1100,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020212,24.2,0,0,,,1030,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020218,20.5,0,1,,38,1118,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020225,26.7,0,0,,,1100,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020234,22.6,0,0,,,1400,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020241,18.8,0,0,,,1100,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020244,20.9,1,0,7.2,,1420,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020248,13.1,1,0,8.9,,741,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020255,16.2,2,0,8.25,,1531,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020262,12.5,0,0,,,1230,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020269,16.5,2,0,9.75,,1280.5,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020277,8,0,0,,,1030,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020283,14.3,0,0,,,1300,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2020292,13.6,0,0,,,1230,2,10,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
2021140,27.5,0,0,,,1145,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021147,12.8,0,0,,,1330,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021155,25.2,0,0,,,1500,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021161,19.4,0,0,,,1030,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021168,22.2,0,0,,,1915,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021175,27.2,0,0,,,1530,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021182,22.4,0,0,,,1215,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021189,17.2,0,0,,,1330,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021197,24.5,0,0,,,1315,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021203,23.2,0,0,,,1115,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021231,24.8,0,0,,,1115,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021237,29.6,0,0,,,1200,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021246,22.6,0,0,,,1400,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021250,22,0,0,,,1730,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021259,21,0,0,,,1115,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021266,22.7,0,0,,,1115,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2021274,15.4,0,0,,,1230,6,10,1,0,0.133333333,0.158935361,0,0,0.032061069,0.035294118,11.19520257,10.83224219,10.01379202,4,4,4,1,1,0.9609375,0.714068441,0.006134969,0.015294118,0.040375587
2020171,24.6,0,0,,,800,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020178,23.2,0,0,,,1130,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020185,23.6,0,0,,,800,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020199,24.3,0,0,,,1000,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020205,20.6,0,0,,,1100,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020213,24.4,0,0,,,930,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020219,23.4,0,0,,,1300,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020226,25.1,0,0,,,930,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020232,15.4,0,0,,,1300,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020238,22.2,0,0,,,900,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020246,20.7,0,0,,,800,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020254,15,0,0,,,1100,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020261,12.6,0,0,,,1300,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020268,17.6,0,0,,,1530,19,10,1,0,0,0,0.647727273,0.715151515,0.850948509,0.872476089,3.219356189,2.200332109,1.759791641,2,2,3,0,0,0,0.004901961,0.180679785,0.120085016,0.103418803
2020156,21.9,0,1,,48.5,991.2857143,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020164,17,1,1,10.7,40.9,1304,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020174,25.6,1,0,22.2,,807,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020182,23.7,0,0,,,1000,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020189,30.4,0,0,,,1230,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020195,22.8,0,0,,,1000,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020204,20.5,0,2,,42.8,859.5,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020210,24.2,0,0,,,930,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020216,18.4,0,1,,52,837,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020228,22.4,0,1,,54.4,1000.75,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020233,16.975,5,1,9.72,18.5,894.125,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020239,14.425,3,1,9.366666667,19.5,988.75,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020245,16.8,2,0,9.3,,818.6666667,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020251,18.92,3,0,10.5,,1001.4,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020261,11.9,1,0,10,,905.3333333,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020270,25.23333333,2,0,7.75,,1464.666667,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020278,10.3,1,0,10.5,,1036,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020282,9.1,0,0,,,1500,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020289,13.9,0,0,,,1330,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020289,13.9,0,0,,,1330,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021130,14.26666667,7,0,17.81428571,,1645.777778,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021138,23.9,0,0,,,1200,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021145,26.9,0,0,,,1400,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021152,25.5,1,0,23.3,,1511,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021160,27.275,1,1,17.9,27,1693.5,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021167,20.8,1,1,14.5,41.5,1742,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021174,20.2,1,0,16.5,,1402,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021180,23.36,0,2,,60.5,1420,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021187,29.1,0,0,,,1430,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021194,23.6,0,0,,,1309.5,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021202,22.4,0,0,,,1212.333333,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021209,21.85,0,0,,,1190,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021216,27,0,2,,21.75,1528.333333,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021222,26.2,0,0,,,1124,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021229,22.1,0,0,,,1330,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021235,26.6,2,3,8.55,17.06666667,1633.666667,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021244,23.06666667,0,4,,26,1688.111111,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021254,19.8,0,2,,46.25,1190.333333,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021259,23.4,4,0,12.85,,1470.333333,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021263,22.1,0,0,,,1330,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2021271,14.3,0,0,,,1200,21,10,0,0.432835821,0.14010989,0.116941529,0.567164179,0.633093525,0.799107143,0.825086306,0,0,0,0,0,0,0,0,0,0,0.015936255,0.009205984,0.008241758
2020168,23.2,0,0,,,1040,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020175,30.4,0,0,,,1430,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020184,26,1,2,27.5,35.25,847.5,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020190,29.9,0,0,,,1400,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020197,20.9,0,0,,,800,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020202,27.4,2,0,22.15,,1438.666667,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020206,24.5,2,2,20.7,33.45,942.75,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
